id, address, area, category, base price, sale price, competitors count, notes
N1020401, 臺北市萬華區青年段二小段3507建號, 約171.39, , "39,661,701", "39,661,800", 1, 
N1020401, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "39,661,701", "39,661,800", 1, 
N1020401, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "39,661,701", "39,661,800", 1, 
N1020401, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "39,661,701", "39,661,800", 1, 
N1020401, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "39,661,701", "39,661,800", 1, 
N1020402, 臺北市萬華區青年段二小段3506建號, 約171.39, , "38,884,159", , , 
N1020402, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "38,884,159", , , 
N1020402, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020402, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "38,884,159", , , 
N1020402, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020403, 臺北市萬華區青年段二小段3503建號, 約171.39, , "38,884,159", , , 
N1020403, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "38,884,159", , , 
N1020403, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020403, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "38,884,159", , , 
N1020403, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020404, 臺北市萬華區青年段二小段3502建號, 約171.39, , "38,884,159", , , 
N1020404, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "38,884,159", , , 
N1020404, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020404, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "38,884,159", , , 
N1020404, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020405, 臺北市萬華區青年段二小段3501建號, 約171.39, , "38,884,159", , , 
N1020405, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "38,884,159", , , 
N1020405, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020405, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "38,884,159", , , 
N1020405, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020406, 臺北市萬華區青年段二小段3500建號, 約171.39, , "38,884,159", , , 
N1020406, 臺北市萬華區青年段二小段18地號, "16,459(持分207/100000)", 第三種住宅區, "38,884,159", , , 
N1020406, 臺北市萬華區青年段二小段18-39地號, 132(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020406, 臺北市萬華區青年段一小段711地號, 696(持分207/100000), 第三種住宅區, "38,884,159", , , 
N1020406, 臺北市萬華區青年段一小段711-3地號, 332(持分207/100000), 第三之ㄧ種住宅區, "38,884,159", , , 
N1020407, 臺北市萬華區青年段二小段3485建號, 約197.66, , "44,246,261", , , 
N1020407, 臺北市萬華區青年段二小段18地號, "16,459(持分238/100000)", 第三種住宅區, "44,246,261", , , 
N1020407, 臺北市萬華區青年段二小段18-39地號, 132(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020407, 臺北市萬華區青年段一小段711地號, 696(持分238/100000), 第三種住宅區, "44,246,261", , , 
N1020407, 臺北市萬華區青年段一小段711-3地號, 332(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020408, 臺北市萬華區青年段二小段3488建號, 約197.66, , "44,246,261", , , 
N1020408, 臺北市萬華區青年段二小段18地號, "16,459(持分238/100000)", 第三種住宅區, "44,246,261", , , 
N1020408, 臺北市萬華區青年段二小段18-39地號, 132(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020408, 臺北市萬華區青年段一小段711地號, 696(持分238/100000), 第三種住宅區, "44,246,261", , , 
N1020408, 臺北市萬華區青年段一小段711-3地號, 332(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020409, 臺北市萬華區青年段二小段3489建號, 約197.66, , "44,246,261", , , 
N1020409, 臺北市萬華區青年段二小段18地號, "16,459(持分238/100000)", 第三種住宅區, "44,246,261", , , 
N1020409, 臺北市萬華區青年段二小段18-39地號, 132(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020409, 臺北市萬華區青年段一小段711地號, 696(持分238/100000), 第三種住宅區, "44,246,261", , , 
N1020409, 臺北市萬華區青年段一小段711-3地號, 332(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020410, 臺北市萬華區青年段二小段3492建號, 約175.79, , "39,350,544", , , 
N1020410, 臺北市萬華區青年段二小段18地號, "16,459(持分212/100000)", 第三種住宅區, "39,350,544", , , 
N1020410, 臺北市萬華區青年段二小段18-39地號, 132(持分212/100000), 第三之ㄧ種住宅區, "39,350,544", , , 
N1020410, 臺北市萬華區青年段一小段711地號, 696(持分212/100000), 第三種住宅區, "39,350,544", , , 
N1020410, 臺北市萬華區青年段一小段711-3地號, 332(持分212/100000), 第三之ㄧ種住宅區, "39,350,544", , , 
N1020411, 臺北市萬華區青年段二小段3493建號, 約197.66, , "44,246,261", , , 
N1020411, 臺北市萬華區青年段二小段18地號, "16,459(持分238/100000)", 第三種住宅區, "44,246,261", , , 
N1020411, 臺北市萬華區青年段二小段18-39地號, 132(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020411, 臺北市萬華區青年段一小段711地號, 696(持分238/100000), 第三種住宅區, "44,246,261", , , 
N1020411, 臺北市萬華區青年段一小段711-3地號, 332(持分238/100000), 第三之ㄧ種住宅區, "44,246,261", , , 
N1020412, 臺北市萬華區青年段二小段3496建號, 約325.25, , "63,755,426", , , 
N1020412, 臺北市萬華區青年段二小段18地號, "16,459(持分390/100000)", 第三種住宅區, "63,755,426", , , 
N1020412, 臺北市萬華區青年段二小段18-39地號, 132(持分390/100000), 第三之ㄧ種住宅區, "63,755,426", , , 
N1020412, 臺北市萬華區青年段一小段711地號, 696(持分390/100000), 第三種住宅區, "63,755,426", , , 
N1020412, 臺北市萬華區青年段一小段711-3地號, 332(持分390/100000), 第三之ㄧ種住宅區, "63,755,426", , , 
N1020413, 臺北市萬華區青年段二小段3494建號, 約165.91, , "37,139,031", , , 
N1020413, 臺北市萬華區青年段二小段18地號, "16,459(持分201/100000)", 第三種住宅區, "37,139,031", , , 
N1020413, 臺北市萬華區青年段二小段18-39地號, 132(持分201/100000), 第三之ㄧ種住宅區, "37,139,031", , , 
N1020413, 臺北市萬華區青年段一小段711地號, 696(持分201/100000), 第三種住宅區, "37,139,031", , , 
N1020413, 臺北市萬華區青年段一小段711-3地號, 332(持分201/100000), 第三之ㄧ種住宅區, "37,139,031", , , 
N1020414, 臺北市萬華區青年段二小段3495建號, 約165.91, , "37,139,031", , , 
N1020414, 臺北市萬華區青年段二小段18地號, "16,459(持分201/100000)", 第三種住宅區, "37,139,031", , , 
N1020414, 臺北市萬華區青年段二小段18-39地號, 132(持分201/100000), 第三之ㄧ種住宅區, "37,139,031", , , 
N1020414, 臺北市萬華區青年段一小段711地號, 696(持分201/100000), 第三種住宅區, "37,139,031", , , 
N1020414, 臺北市萬華區青年段一小段711-3地號, 332(持分201/100000), 第三之ㄧ種住宅區, "37,139,031", , , 
N1020415, 臺北市萬華區青年段二小段3499建號, 約312.27, , "61,211,030", , , 
N1020415, 臺北市萬華區青年段二小段18地號, "16,459(持分374/100000)", 第三種住宅區, "61,211,030", , , 
N1020415, 臺北市萬華區青年段二小段18-39地號, 132(持分374/100000), 第三之ㄧ種住宅區, "61,211,030", , , 
N1020415, 臺北市萬華區青年段一小段711地號, 696(持分374/100000), 第三種住宅區, "61,211,030", , , 
