id,addr,area,category,security_deposits,notes,stop
S1033501,嘉義市港子坪段17-26地號,559,住宅區," 3,256,000 ",地上物狀況為種植果樹、雜樹、乾涸水溝（內有雜草樹、木架棚）、雜草地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033502,"嘉義市竹圍子段友愛小段187地號
",690(持分34/960),住宅區," 128,000 ",1.地上物狀況為泥土地（上有可移動車子）、雜草樹、雜物、貨櫃等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033503,嘉義市玉川段8-14地號,47,住宅區," 143,000 ",地上物狀況為水泥地、堆置雜物等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033504,嘉義市檜段四小段54地號,355,商業區," 1,318,000 ",地上物狀況為圍牆內雜草地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033505,嘉義市白川段79-47地號,53,住宅區," 190,000 ","1.主建物面積38.63平方公尺，增建面積14.37平方公尺，建物以登記面積辦理移轉登記，標售底價含建物價格11,000元，得標價格扣除建物價格後之金額，均屬土地價格。",否
S1033505,嘉義市白川段515建號(嘉義市永安街390巷20號),38.63,," 190,000 ","1.主建物面積38.63平方公尺，增建面積14.37平方公尺，建物以登記面積辦理移轉登記，標售底價含建物價格11,000元，得標價格扣除建物價格後之金額，均屬土地價格。",否
S1033506,嘉義市湖內段564地號,77(持分1/2),住宅區," 81,000 ",1.地上物狀況為雜草、堆放雜物等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033507,嘉義市車店段393-20、394-25地號,73(持分1/4),住宅區," 52,000 ",1.地上物狀況為社區綠美化等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033508,嘉義縣朴子市鎮安段502-1、502-2地號,37,住宅區," 115,000 ",地上物狀況為雜草地、鐵條、泥土地、（大同路8號）鐵架棚、水泥地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033509,嘉義縣大林鎮吉林段274地號,403,商業區," 1,603,000 ",地上物狀況為雜草地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033510,"嘉義縣民雄鄉福南段368地號
",377.58,住2," 1,277,000 ",地上物狀況為雜草木等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033511,嘉義縣溪口鄉溪西段1097地號,1174.40(持分1/4),住宅區," 235,000 ",1.地上物狀況為占種甘蔗等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033512,嘉義縣新港鄉港東段253地號,184(持分1490/2298),住宅區," 330,000 ",1.地上物狀況為種植蘆筍、蔬菜、雜草林等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033513,嘉義縣義竹鄉新店段1032-11、1033-8地號,258(持分1/7),特定專用區養殖用地," 3,000 ",1.地上物狀況為魚塭等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033514,嘉義縣義竹鄉新店段1032-13、1033-10地號,321(持分1/7),特定專用區養殖用地," 3,000 ",1.地上物狀況為魚塭等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033515,嘉義縣義竹鄉新店段1039-5、1042地號,137(持分1/7) ,特定專用區養殖用地," 2,000 ",1.地上物狀況為魚塭等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033516,嘉義縣竹崎鄉真武段795-1地號,25.40(持分9/10),住宅區," 54,000 ",1.地上物狀況為水泥（雜草）地（上有堆置雜物）等，以書面方式按現狀點交，地上物概由得標人自理。 ,否
S1033517,"嘉義縣番路鄉內甕段95-5、
95-29、95-32、95-33、95-34、95-36地號","1,624(持分1/2)",住宅區," 1,123,000 ",1.地上物狀況為雜草林等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033518,"嘉義縣番路鄉內甕段95-21
地號
",520(持分2357/5200),住宅區," 363,000 ",1.地上物狀況為雜草林等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033519,嘉義縣番路鄉內甕段88-1、91-21地號,773,住宅區," 1,010,000 ",1.地上物狀況為雜草地、雜樹、雜草林等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1030201,臺南市東山區牛肉崎段493地號," 2,910.00(持分8/36)", 山坡地保育區農牧用地," 11,000 ",1.被繼承人姓名：張頂。,否
S1030202,臺南市東山區東正段642地號, 226.39(持分1/12), 住宅區," 16,000 ",1.被繼承人姓名：郭牪。,否
S1030203,臺南市麻豆區安業段99地號," 1,247.00(持分6/30)", 鄉村區乙種建築用地," 206,000 ",1.被繼承人姓名：李寶水。,否
S1030204,臺南市下營區茅港尾段4702地號, 621.00(持分1/4), 特定農業區農牧用地," 14,000 ",1.被繼承人姓名：曾萬在。,否
S1030205,臺南市大內區蒙正段124-2地號, 689.00(持分1/1), 一般農業區林業用地," 40,000 ",1.被繼承人姓名：張大松。,否
S1030206,臺南市大內區大內段878-1地號," 2,408.00(持分2/18)", 農業區," 29,000 ",1.被繼承人姓名：楊其長。,否
S1030207,臺南市大內區內庄段692地號," 2,004.93(持分2/18)", 農業區," 15,000 ",被繼承人姓名：楊其長。,否
S1030208,臺南市大內區內庄段696地號," 1,532.11(持分2/18)", 農業區," 14,000 ",1.被繼承人姓名：楊其長。,否
S1030209,臺南市佳里區新宅段441、441-2地號, 528.00(持分2/16), 鄉村區乙種建築用地," 35,000 ",1.被繼承人姓名：林咸。,否
S1030210,臺南市七股區後港段1966地號, 494.00(持分1/2), 鄉村區乙種建築用地," 75,000 ",1.被繼承人姓名：翁春。,否
S1030211,臺南市七股區竹橋段2560地號," 2,048.00(持分96/1000)", 特定農業區農牧用地," 24,000 ",1.被繼承人姓名：蕭鬧古。,否
S1030212,臺南市北門區舊埕段594地號," 5,114.19(持分1/4)", 一般農業區農牧用地," 64,000 ",1.被繼承人姓名：張振穆。,否
S1030213,臺南市永康區頂安段62地號, 281.65(持分1/6), 住宅區," 208,000 ",1.被繼承人姓名：李登武。,否
S1030213,臺南市永康區頂安段112地號, 49.53(1/6), 道路用地," 208,000 ",1.被繼承人姓名：李登武。,否
S1033201,臺南市南區鹽埕段168-2、168-48、168-49、168-50、168-51、168-52地號, 82.00(持分17/18), 住六住宅區," 390,000 ",1.抵稅持分土地，共有人有優先購買權。,否
S1033202,臺南市南區華南段654地號, 555.19(持分4897/10000), 住四住宅區," 1,211,000 ",1.抵稅持分土地，共有人有優先購買權。,否
S1033203,臺南市南區大山段117地號, 705.87, 住四住宅區," 2,947,000 ",1.地上為雜草地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033204,臺南市南區大山段180地號, 264.72, 住四住宅區," 1,277,000 ",1.地上為雜草地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033205,臺南市北區延平段1517-3地號, 77.00, 住四住宅區," 374,000 ",地上為雜草地及水泥地等，以書面方式按現狀點交，地上物概由得標人自理。,否
S1033206,臺南市安平區金城段32-2地號," 1,518.00(持分2165/10000)", 住四住宅區," 2,624,000 ",1.抵稅持分土地，共有人有優先購買權。,否
